state,month,handle,sports_books,gross_revenue,adjusted_revenue,gross_win_rate,adjusted_win_rate,mobile_handle_percentage,mobile_handle_dollars,hold,taxes,number_of_regions
Delaware,2020-12-01,15696681,3 (0 Mobile),4408081,3097116,28.08,19.73,19.73,NA,NA,2341189,NA
Delaware,2021-01-01,15649254,3 (0 Mobile),3288405,2737097,21.01,17.49,17.49,NA,NA,1553487,NA
Delaware,2021-02-01,7519710,3 (0 Mobile),679021,595680,9.03,7.92,7.92,NA,NA,254200,NA
Delaware,2021-03-01,6666115,3 (0 Mobile),1104860,965419,16.57,14.48,14.48,NA,NA,482174,NA
Delaware,2021-04-01,5470250,3 (0 Mobile),1022928,893960,18.7,16.34,16.34,NA,NA,446688,NA
Delaware,2021-05-01,7060911,3 (0 Mobile),775611,677441,10.98,9.59,9.59,NA,NA,338232,NA
Delaware,2021-06-01,5958137,3 (0 Mobile),737985,644367,12.39,10.81,10.81,NA,NA,321634,NA
Delaware,2021-07-01,4110581,3 (0 Mobile),1146040,633084,27.88,15.4,15.4,NA,NA,316107,NA
Delaware,2021-08-01,5251471,3 (0 Mobile),541369,453422,10.31,8.63,8.63,NA,NA,224174,NA
Delaware,2021-09-01,13702755,3 (0 Mobile),4420661,3202534,32.26,23.37,23.37,NA,NA,2341630,NA
Delaware,2021-10-01,22238321,3 (0 Mobile),4635199,3102693,20.84,13.95,13.95,NA,NA,2319322,NA
Delaware,2021-11-01,15567067,3 (0 Mobile),6226325,4567121,40,29.34,29.34,NA,NA,3391917,NA
Delaware,2021-12-01,12638955,3 (0 Mobile),NA,NA,-7.69,-7.67,-7.67,NA,NA,148405,NA
Delaware,2022-01-01,12637103,3 (0 Mobile),2716346,1914286,19.01,14.34,14.34,NA,NA,1418276,NA
Delaware,2022-02-01,5435407,3 (0 Mobile),73298,54282,1.35,1,1,NA,NA,9814,NA
Delaware,2022-03-01,5157583,3 (0 Mobile),632532,552031,12.26,10.7,10.7,NA,NA,275442,NA
Delaware,2022-04-01,4200298,3 (0 Mobile),359242,313267,8.55,7.46,7.46,NA,NA,156204,NA
Delaware,2022-05-01,5127275,3 (0 Mobile),566488,494648,11.05,9.65,9.65,NA,NA,246955,NA
Delaware,2022-06-01,3507846,3 (0 Mobile),243164,211922,6.93,6.04,6.04,NA,NA,105622,NA
Delaware,2022-07-01,2678686,3 (0 Mobile),438069,383250,16.35,14.31,14.31,NA,NA,191432,NA
Delaware,2022-08-01,2902652,3 (0 Mobile),416376,354444,14.34,12.21,12.21,NA,NA,191634,NA
Delaware,2022-09-01,8948981,3 (0 Mobile),3859442,2785652,43.13,31.13,31.13,NA,NA,2144155,NA
Delaware,2022-10-01,13545163,3 (0 Mobile),3629919,2463045,26.8,18.18,18.18,NA,NA,1841226,NA
Delaware,2022-11-01,10172819,3 (0 Mobiile),2303197,1530355,22.64,15.04,15.04,NA,NA,1119178,NA
Delaware,2022-12-01,8157580,3 (0 Mobile),2065320,1367377,25.32,16.76,16.76,NA,NA,1061320,NA
Delaware,2023-01-01,8457660,3 (0 Mobile),2325156,1642635,27.49,19.42,19.42,NA,NA,1279260,NA
Delaware,2023-02-01,4120957,3 (0 Mobile),373701,306573,9.07,7.44,7.44,NA,NA,160247,NA
Delaware,2023-03-01,3491183,3 (0 Mobile),626371,544385,17.94,15.59,15.59,NA,NA,271825,NA
Delaware,2023-04-01,3450142,3 (0 Mobile),454657,374568,13.48,10.86,10.86,NA,NA,202968,NA
Delaware,2023-05-01,2760829,3 (0 Mobile),314900,245475,11.41,8.89,8.89,NA,NA,135164,NA
Delaware,2023-06-01,3128258,3 (0 Mobile),123625,71029,3.95,2.27,2.27,NA,NA,38248,NA
Delaware,2023-07-01,2256345,3 (0 Mobile),378416,283025,16.77,12.54,12.54,NA,NA,176075,NA
Delaware,2023-08-01,2400532,3 (0 Mobile),426015,311175,17.75,12.96,12.96,NA,NA,198903,NA
Delaware,2023-09-01,7633258,3 (0 Mobile),1544760,958547,20.24,12.56,12.56,NA,NA,770467,NA
Delaware,2023-10-01,10663361,3 (0 Mobile),3828072,2617552,35.9,24.55,24.55,NA,NA,2110089,NA
Delaware,2023-11-01,8126283,3 (0 Mobile),1101041,576800,13.55,7.1,7.1,NA,NA,452162,NA
Delaware,2023-12-01,8837999,3 (0 Mobile),3042679,2072087,34.43,23.45,23.45,NA,NA,1654945,NA
Delaware,2024-01-01,17085199,3 (1 Mobile),2862312,1786894,16.75,10.46,10.46,NA,NA,1131369,NA
Delaware,2024-02-01,13763241,3 (1 Mobile),1036444,560449,7.53,4.07,4.07,NA,NA,228244,NA
Delaware,2024-03-01,18935525,3 (1 Mobile),1660438,1030006,8.77,5.44,5.44,NA,NA,538392,NA
Delaware,2024-04-01,15522996,3 (1 Mobile),1694762,1014907,10.92,6.54,6.54,NA,NA,541989,NA
Delaware,2024-05-01,15107592,3 (1 Mobile),1754361,1055108,11.61,6.98,6.98,NA,NA,540901,NA
Delaware,2024-06-01,13058698,3 (1 Mobile),1369322,800783,10.49,6.13,6.13,NA,NA,423998,NA
Delaware,2024-07-01,9927116,3 (1 Mobile),1877929,1074429,18.92,10.82,10.82,NA,NA,573949,NA
Delaware,2024-08-01,10259279,3 (1 Mobile),1146052,702075,11.17,6.84,6.84,NA,NA,364709,NA
Delaware,2024-09-01,23242735,3 (1 Mobile),4676638,2965229,20.12,12.76,12.76,NA,NA,1922215,NA
Delaware,2024-10-01,24502521,3 (1 Mobile),1845797,877124,7.53,3.57,3.57,NA,NA,347985,NA
Delaware,2024-11-01,26390185,3 (1 Mobile),4378351,2676927,16.59,10.14,10.14,NA,NA,1686203,NA
Delaware,2024-12-01,28445372,3 (1 Mobile),592292,41169,2.08,0.14,0.14,NA,NA,174859,NA
Delaware,2025-01-01,23805707,3 (1 Mobile),2958321,1726706,12.43,7.25,7.25,NA,NA,944288,NA
Delaware,2025-02-01,18056720,3 (1 Mobile),1218200,631667,6.75,3.5,3.5,NA,NA,303445,NA
Delaware,2025-03-01,21585890,3 (1 Mobile),1540252,912897,7.14,4.23,4.23,NA,NA,485019,NA
Delaware,2025-04-01,18213653,3 (1 Mobile),2041825,1220504,11.21,6.7,6.7,NA,NA,634323,NA
Delaware,2025-05-01,17460383,3 (1 Mobile),1933199,1150289,11.07,6.59,6.59,NA,NA,593382,NA
Delaware,2025-06-01,14421281,3 (1 Mobile),2376235,1433043,16.48,9.94,9.94,NA,NA,749445,NA
Delaware,2025-07-01,13223246,3 (1 Mobile),1886617,1138137,14.27,8.61,8.61,NA,NA,603934,NA
Delaware,2025-08-01,15605825,3 (1 Mobile),1514420,905182,9.7,5.8,5.8,NA,NA,467008,NA
District of Columbia,2020-05-01,9723,NA,NA,NA,NA,NA,NA,NA,-2.47,0,NA
District of Columbia,2020-06-01,223730,NA,36985,NA,NA,NA,NA,NA,16.53,36985,NA
District of Columbia,2020-07-01,743330,NA,144020,NA,NA,NA,NA,NA,19.37,142453,NA
District of Columbia,2020-08-01,11262442,NA,1703416,NA,NA,NA,NA,NA,15.12,420669,NA
District of Columbia,2020-09-01,15455160,NA,1804299,NA,NA,NA,NA,NA,11.67,629436,NA
District of Columbia,2020-10-01,18535846,NA,3539869,NA,NA,NA,NA,NA,19.1,1093878,NA
District of Columbia,2020-11-01,17600534,NA,3611200,NA,NA,NA,NA,NA,20.52,1155563,NA
District of Columbia,2020-12-01,16696995,NA,2708652,NA,NA,NA,NA,NA,16.22,997360,NA
District of Columbia,2021-01-01,15746168,NA,2805492,NA,NA,NA,NA,NA,17.82,1102595,NA
District of Columbia,2021-02-01,15303079,NA,1333019,NA,NA,NA,NA,NA,8.71,673636,NA
District of Columbia,2021-03-01,15275215,NA,1867034,NA,NA,NA,NA,NA,12.22,830423,NA
District of Columbia,2021-04-01,10746937,NA,2087240,NA,NA,NA,NA,NA,19.42,690919,NA
District of Columbia,2021-05-01,13772411,NA,2008091,NA,NA,NA,NA,NA,14.58,774489,NA
District of Columbia,2021-06-01,19518408,NA,2191485,NA,NA,NA,NA,NA,11.23,685340,NA
District of Columbia,2021-07-01,12808240,NA,1801749,NA,NA,NA,NA,NA,14.07,569628,NA
District of Columbia,2021-08-01,12445312,NA,1492900,NA,NA,NA,NA,NA,12,425270,NA
District of Columbia,2021-09-01,20706483,NA,3883674,NA,NA,NA,NA,NA,18.76,924763,NA
District of Columbia,2021-10-01,24918457,NA,1705267,NA,NA,NA,NA,NA,6.84,864080,NA
District of Columbia,2021-11-01,21419455,NA,4434928,NA,NA,NA,NA,NA,20.71,1411898,NA
District of Columbia,2021-12-01,19220228,NA,1398707,NA,NA,NA,NA,NA,7.28,739017,NA
District of Columbia,2022-01-01,18627788,NA,1962256,NA,NA,NA,NA,NA,10.53,1053852,NA
District of Columbia,2022-02-01,19072856,NA,740542,NA,NA,NA,NA,NA,3.88,470422,NA
District of Columbia,2022-03-01,20432719,NA,1365997,NA,NA,NA,NA,NA,6.69,597221,NA
District of Columbia,2022-04-01,18379904,NA,1431276,NA,NA,NA,NA,NA,7.79,685510,NA
District of Columbia,2022-05-01,17234139,NA,2016708,NA,NA,NA,NA,NA,11.7,853677,NA
District of Columbia,2022-06-01,13760754,NA,1000645,NA,NA,NA,NA,NA,7.27,496668,NA
District of Columbia,2022-07-01,11346178,NA,1166211,NA,NA,NA,NA,NA,10.28,528476,NA
District of Columbia,2022-08-01,13147645,NA,1832686,NA,NA,NA,NA,NA,13.94,685457,NA
District of Columbia,2022-09-01,19361047,NA,3530486,NA,NA,NA,NA,NA,18.23,1289081,NA
District of Columbia,2022-10-01,24801500,NA,3111717,NA,NA,NA,NA,NA,12.55,1065468,NA
District of Columbia,2022-11-01,21401681,NA,2641689,NA,NA,NA,NA,NA,12.34,1023335,NA
District of Columbia,2022-12-01,18665909,NA,2410627,NA,NA,NA,NA,NA,12.91,957589,NA
District of Columbia,2023-01-01,20115255,NA,1494441,NA,NA,NA,NA,NA,7.43,927971,NA
District of Columbia,2023-02-01,14634829,NA,1193982,NA,NA,NA,NA,NA,8.16,690191,NA
District of Columbia,2023-03-01,18091767,NA,2275691,NA,NA,NA,NA,NA,12.58,1002399,NA
District of Columbia,2023-04-01,14132054,NA,1418909,NA,NA,NA,NA,NA,10.04,792952,NA
District of Columbia,2023-05-01,12532898,NA,2024803,NA,NA,NA,NA,NA,16.16,842634,NA
District of Columbia,2023-06-01,11150333,NA,484673,NA,NA,NA,NA,NA,4.35,183364,NA
District of Columbia,2023-07-01,7722843,NA,1409569,NA,NA,NA,NA,NA,18.25,563027,NA
District of Columbia,2023-08-01,8111022,NA,1048451,NA,NA,NA,NA,NA,12.93,478845,NA
District of Columbia,2023-09-01,14480473,NA,1934262,NA,NA,NA,NA,NA,13.36,726259,NA
District of Columbia,2023-10-01,16435889,NA,2001444,NA,NA,NA,NA,NA,12.18,798937,NA
District of Columbia,2023-11-01,17128831,NA,1227995,NA,NA,NA,NA,NA,7.17,545311,NA
District of Columbia,2023-12-01,15315497,NA,2537961,NA,NA,NA,NA,NA,16.57,1007632,NA
District of Columbia,2024-01-01,15957167,NA,1933439,NA,NA,NA,NA,NA,12.12,814382,NA
District of Columbia,2024-02-01,11977394,NA,1219281,NA,NA,NA,NA,NA,10.18,485210,NA
District of Columbia,2024-03-01,15752056,NA,1366516,NA,NA,NA,NA,NA,8.68,499108,NA
District of Columbia,2024-04-01,26649705,NA,3529186,NA,NA,NA,NA,NA,13.24,684718,NA
District of Columbia,2024-05-01,35444780,NA,5440654,NA,NA,NA,NA,NA,15.35,730573,NA
District of Columbia,2024-06-01,29627134,NA,3993068,NA,NA,NA,NA,NA,13.48,501950,NA
District of Columbia,2024-07-01,27347852,NA,3893782,NA,NA,NA,NA,NA,14.24,537995,NA
District of Columbia,2024-08-01,40583711,NA,4542229,NA,NA,NA,NA,NA,11.19,1111352,NA
District of Columbia,2024-09-01,58088810,NA,8068381,NA,NA,NA,NA,NA,13.89,1966929,NA
District of Columbia,2024-10-01,65834192,NA,6566154,NA,NA,NA,NA,NA,9.97,1466332,NA
District of Columbia,2024-11-01,68272811,NA,9029019,NA,NA,NA,NA,NA,13.22,2056657,NA
District of Columbia,2024-12-01,65333158,NA,4040694,NA,NA,NA,NA,NA,6.18,899740,NA
District of Columbia,2025-01-01,73096228,NA,9295356,NA,NA,NA,NA,NA,12.72,2090104,NA
District of Columbia,2025-02-01,59507037,NA,7349433,NA,NA,NA,NA,NA,12.35,1684139,NA
District of Columbia,2025-03-01,86014452,NA,6222044,NA,NA,NA,NA,NA,7.23,1496244,NA
District of Columbia,2025-04-01,71545569,NA,8294716,NA,NA,NA,NA,NA,11.59,1917367,NA
District of Columbia,2025-05-01,74470050,NA,7972800,NA,NA,NA,NA,NA,10.71,1867681,NA
District of Columbia,2025-06-01,50731952,NA,6774235,NA,NA,NA,NA,NA,13.35,1571681,NA
District of Columbia,2025-07-01,55927318,NA,5486930,NA,NA,NA,NA,NA,9.81,1266665,NA
District of Columbia,2025-08-01,54116566,NA,5912092,NA,NA,NA,NA,NA,10.92,1382697,NA
Illinois,2020-03-01,997382,2 (0),NA,72028,NA,7.22,7.22,0,NA,10804,NA
Illinois,2020-04-01,0,0 (0),NA,0,NA,0,0,0,NA,0,NA
Illinois,2020-05-01,0,0 (0),NA,0,NA,0,0,0,NA,0,NA
Illinois,2020-06-01,8281803,1 (1),NA,368651,NA,9.82,9.82,8281803,NA,55298,NA
Illinois,2020-07-01,52524612,2 (1),NA,3623985,NA,9.08,9.08,48524592,NA,537264,NA
Illinois,2020-08-01,140065649,6(3),NA,7233360,NA,5.47,5.47,123969460,NA,1085004,NA
Illinois,2020-09-01,305223938,8 (5),NA,6837289,NA,3.85,3.85,283061442,NA,1025593,NA
Illinois,2020-10-01,434567105,8 (5),NA,42200300,NA,10.02,10.02,409780229,NA,6330045,NA
Illinois,2020-11-01,449474389,8 (5),NA,41286027,NA,9.1,9.1,433694608,NA,6192904,NA
Illinois,2020-12-01,491720536,0 (5),NA,23873152,NA,4.86,4.86,491720536,NA,3580973,NA
Illinois,2021-01-01,581553300,8 (5),NA,47945298,NA,8.24,8.24,575232465,NA,7191795,NA
Illinois,2021-02-01,509794592,8 (5),NA,35393768,NA,6.94,6.94,490203460,NA,5309065,NA
Illinois,2021-03-01,633614957,11 (6),NA,44317702,NA,6.99,6.99,609045176,NA,6647655,NA
Illinois,2021-04-01,537158723,11 (6),NA,43605926,NA,8.12,8.12,513245932,NA,6540899,NA
Illinois,2021-05-01,507279761,11 (6),NA,36230990,NA,7.14,7.14,482503036,NA,5434648,NA
Illinois,2021-06-01,476517310,11 (6),NA,47517215,NA,9.97,9.97,451691936,NA,7127582,NA
Illinois,2021-07-01,369134820,11 (6),NA,37611594,NA,10.19,10.19,348446038,NA,5641739,NA
Illinois,2021-08-01,400359760,11 (6),NA,26849155,NA,6.71,6.71,380217277,NA,4027373,NA
Illinois,2021-09-01,596455693,11 (6),NA,39991466,NA,6.7,6.7,569898894,NA,5998720,NA
Illinois,2021-10-01,840440.434,11 (6),NA,52596844,NA,6.26,6.26,803449367,NA,7889527,NA
Illinois,2021-11-01,779853367,11 (6),NA,79327385,NA,10.17,10.17,745967170,NA,11899108,NA
Illinois,2021-12-01,789600346,11 (6),NA,33685291,NA,4.27,4.27,752864250,NA,5052794,NA
Illinois,2022-01-01,867505495,11 (6),NA,66219204,NA,7.63,7.63,829112962,NA,9932881,NA
Illinois,2022-02-01,679374197,11 (6),NA,35600085,NA,5.24,5.24,652322987,NA,5340013,NA
Illinois,2022-03-01,971278389,11 (7),NA,60629327,NA,6.24,6.24,927534935,NA,9094399,NA
Illinois,2022-04-01,839386882,11 (7),NA,70462360,NA,8.39,8.39,810511526,NA,10569354,NA
Illinois,2022-05-01,764591576,11 (7),NA,67466567,NA,8.82,8.82,734079667,NA,10119985,NA
Illinois,2022-06-01,628459523,11 (7),NA,40866946,NA,6.5,6.5,604956513,NA,6130042,NA
Illinois,2022-07-01,516414719,11 (7),NA,46080136,NA,8.92,8.92,496147156,NA,6912020,NA
Illinois,2022-08-01,564837410,11 (7),NA,47788940,NA,8.46,8.46,540038147,NA,7168341,NA
Illinois,2022-09-01,831805960,11 (7),NA,78416646,NA,9.43,9.43,797704216,NA,11762497,NA
Illinois,2022-10-01,1029560184,11 (7),NA,102088548,NA,9.92,9.92,989276189,NA,15313282,NA
Illinois,2022-11-01,1029519265,11 (7),NA,96969201,NA,9.42,9.42,989597521,NA,14545380,NA
Illinois,2022-12-01,1028471256,11 (7),NA,82403727,NA,8.01,8.01,990965304,NA,11534968,NA
Illinois,2023-01-01,1070033293,12 (7),NA,96011984,NA,8.97,8.97,1033364498,NA,14401798,NA
Illinois,2023-02-01,875387789,12 (7),NA,68423067,NA,7.82,7.82,847357096,NA,10263460,NA
Illinois,2023-03-01,1072701363,12 (7),NA,97159642,NA,9.06,9.06,1037709907,NA,14573946,NA
Illinois,2023-04-01,898571937,12 (7),NA,89516011,NA,9.96,9.96,869644932,NA,13427402,NA
Illinois,2023-05-01,821715720,12 (7),NA,89047614,NA,10.84,10.84,797640859,NA,13357142,NA
Illinois,2023-06-01,665770747,12 (7),NA,54669872,NA,8.21,8.21,647721255,NA,8200481,NA
Illinois,2023-07-01,611372473,12 (7),NA,60411925,NA,9.88,9.88,595019127,NA,9061789,NA
Illinois,2023-08-01,676065424,12 (7),NA,46939344,NA,6.94,6.94,655552070,NA,7040902,NA
Illinois,2023-09-01,1078442134,14 (8),NA,86222260,NA,8,8,1043571794,NA,12933340,NA
Illinois,2023-10-01,1161060677,14 (8),NA,112740764,NA,9.71,9.71,1126686970,NA,16911115,NA
Illinois,2023-11-01,1375396487,14 (8),NA,72704587,NA,5.29,5.29,1337185630,NA,10905688,NA
Illinois,2023-12-01,1314056821,14 (8),NA,128430319,NA,9.77,9.77,1274015251,NA,19264548,NA
Illinois,2024-01-01,1286243926,14 (8),NA,135231590,NA,10.51,10.51,1248873882,NA,20284739,NA
Illinois,2024-02-01,1070625059,14 (8),NA,83536412,NA,7.8,7.8,1041183956,NA,12530462,NA
Illinois,2024-03-01,1264532904,15 (8),NA,99420016,NA,7.86,7.86,1226393752,NA,14913002,NA
Illinois,2024-04-01,1103531944,15 (8),NA,91955652,NA,8.33,8.33,1071703605,NA,13793348,NA
Illinois,2024-05-01,1016698917,15 (8),NA,100885704,NA,9.92,9.92,985702525,NA,15132856,NA
Illinois,2024-06-01,847966974,15 (8),NA,94619839,NA,11.16,11.16,823548992,NA,14192976,NA
Illinois,2024-07-01,773703868,15 (8),NA,71317183,NA,9.22,9.22,753897767,NA,14263487,NA
Illinois,2024-08-01,877957911,16 (9),NA,59169811,NA,6.74,6.74,852823982,NA,13648922,NA
Illinois,2024-09-01,1305810953,14 (9),NA,136442000,NA,10.45,10.45,1207885746,NA,37327456,NA
Illinois,2024-10-01,1445844471,14 (8),NA,81351388,NA,5.62,5.62,1409160708,NA,24460987,NA
Illinois,2024-11-01,1532470270,14 (9),NA,154606065,NA,10.08,10.08,1493271320,NA,48170406,NA
Illinois,2024-12-01,1491297742,13 (9),NA,105685978,NA,7.09,7.09,1452635258,NA,35106009,NA
Illinois,2025-01-01,1473948072,13 (9),NA,146835469,NA,9.96,9.96,1437721864,NA,52525858,NA
Illinois,2025-02-01,1144774990,13 (9),NA,128034091,NA,11.13,11.13,1117468926,NA,45823584,NA
Illinois,2025-03-01,1494276828,13 (9),NA,95479076,NA,6.39,6.39,1461559458,NA,33596602,NA
Illinois,2025-04-01,1284273932,13 (10),NA,108606963,NA,8.46,8.46,1254554517,NA,38668207,NA
Illinois,2025-05-01,1274398414,13 (9),NA,120933146,NA,9.49,9.49,1247313501,NA,43761881,NA
Illinois,2025-06-01,957108828,12 (9),NA,113926184,NA,11.9,11.9,935079438,NA,41528808,NA
Illinois,2025-07-01,862492392,13 (10),NA,89691309,NA,10.4,10.4,843925852,NA,18022364,NA
Indiana,2019-09-01,35215416,14 (0 Mobile),8558974,NA,NA,NA,NA,0,24.3,813103,NA
Indiana,2019-10-01,91697393,14 (3 Mobile),11538533,NA,NA,NA,NA,48014320,12.58,1096160,NA
Indiana,2019-11-01,147276915,15 (3 Mobile),9298552,NA,NA,NA,NA,96205375,6.31,883361,NA
Indiana,2019-12-01,161808925,15 (4 Mobile),11989909,NA,NA,NA,NA,110574677,7.41,1139041,NA
Indiana,2020-01-01,170813254,15 (4 Mobile),12861015,NA,NA,NA,NA,123372845,7.53,1221797,NA
Indiana,2020-02-01,187186223,15 (5 Mobile),11092752,NA,NA,NA,NA,145893333,5.9,1053811,NA
Indiana,2020-03-01,74818802,15 (6 Mobile),5495640,NA,NA,NA,NA,60797614,7.3,522085,NA
Indiana,2020-04-01,26304128,15 (7 Mobile),1559884,NA,NA,NA,NA,26304128,5.93,148189,NA
Indiana,2020-05-01,37334940,15 (8 Mobile),3179968,NA,NA,NA,NA,37334940,8.52,302097,NA
Indiana,2020-06-01,29783580,15 (8 Mobile),2922108,NA,NA,NA,NA,29149096,9.81,277601,NA
Indiana,2020-07-01,70474221,15 (8 Mobile),6658465,NA,NA,NA,NA,64545921,9.39,632544,NA
Indiana,2020-08-01,169018238,15 (8 Mobile),9834881,NA,NA,NA,NA,143900567,5.82,934314,NA
Indiana,2020-09-01,207450106,15 (9 Mobile),14283702,NA,NA,NA,NA,173170391,6.89,1356952,NA
Indiana,2020-10-01,230932251,15 (10 Mobile),21098460,NA,NA,NA,NA,193031440,9.14,2004354,NA
Indiana,2020-11-01,251403994,15 (11 Mobile),25332120,NA,NA,NA,NA,213687911,10.08,2406551,NA
Indiana,2020-12-01,313112474,15 (11 Mobile),24306695,NA,NA,NA,NA,263072905,7.76,2309136,NA
Indiana,2021-01-01,348244676,15 (10 Mobile),29330069,NA,NA,NA,NA,296505207,8.42,2786357,NA
Indiana,2021-02-01,273893073,15 (10 Mobile),16955904,NA,NA,NA,NA,241027557,6.19,1610811,NA
Indiana,2021-03-01,316717762,15 (10 Mobile),26350639,NA,NA,NA,NA,279184337,8.32,2503311,NA
Indiana,2021-04-01,236403308,15 (10 Mobile),20079106,NA,NA,NA,NA,209070980,8.49,1907522,NA
Indiana,2021-05-01,254445226,15 (11 Mobile),18853192,NA,NA,NA,NA,220189264,7.41,1791053,NA
Indiana,2021-06-01,246321671,15 (12 Mobile),25464800,NA,NA,NA,NA,218409663,10.34,2419156,NA
Indiana,2021-07-01,194492669,15 (12 Mobile),17453179,NA,NA,NA,NA,174579641,8.97,1658052,NA
Indiana,2021-08-01,215636824,15 (12 Mobile),16537681,NA,NA,NA,NA,195239189,7.67,1571080,NA
Indiana,2021-09-01,355425184,15 (12 Mobile),33878239,NA,NA,NA,NA,320128251,9.53,3218433,NA
Indiana,2021-10-01,461131242,15 (12 Mobile),27683035,NA,NA,NA,NA,411944583,6,2629888,NA
Indiana,2021-11-01,463684739,15 (12 Mobile),47654492,NA,NA,NA,NA,422912752,10.28,4527177,NA
Indiana,2021-12-01,463015613,15 (12 Mobile),25772428,NA,NA,NA,NA,422809536,5.57,2448381,NA
Indiana,2022-01-01,500138648,15 (14 Mobile),35572355,NA,NA,NA,NA,458306777,7.11,3379374,NA
Indiana,2022-02-01,409109104,15 (14 Mobile),16958339,NA,NA,NA,NA,380485197,4.15,1611042,NA
Indiana,2022-03-01,476802783,15 (14 Mobile),32375331,NA,NA,NA,NA,439486732,6.79,3066156,NA
Indiana,2022-04-01,360023255,15 (14 Mobile),28657433,NA,NA,NA,NA,333929099,7.96,2722456,NA
Indiana,2022-05-01,308385687,15 (12 Mobile),30659025,NA,NA,NA,NA,284814741,9.94,2912607,NA
Indiana,2022-06-01,256307260,15 (12 Mobile),15765954,NA,NA,NA,NA,238718023,6.15,1497766,NA
Indiana,2022-07-01,206627688,15 (12 Mobile),20888412,NA,NA,NA,NA,193446322,10.11,1984399,NA
Indiana,2022-08-01,237990176,15 (12 Mobile),25448278,NA,NA,NA,NA,219054738,10.69,2417586,NA
Indiana,2022-09-01,382507081,15 (14 Mobile),51173154,NA,NA,NA,NA,352527702,13.38,4861450,NA
Indiana,2022-10-01,446248394,15 (14 Mobile),46932575,NA,NA,NA,NA,412673838,10.52,4458595,NA
Indiana,2022-11-01,452318954,15 (14 Mobile),39971908,NA,NA,NA,NA,415752954,8.84,3797331,NA
Indiana,2022-12-01,431423176,15 (14 Mobile),42724880,NA,NA,NA,NA,396683808,9.9,4058864,NA
Indiana,2023-01-01,427154794,15 (14 Mobile),36458332,NA,NA,NA,NA,397881607,8.54,3463542,NA
Indiana,2023-02-01,356187759,15 (14 Mobile),27683816,NA,NA,NA,NA,333801578,7.77,2785304,NA
Indiana,2023-03-01,433022775,15 (14 Mobile),42842572,NA,NA,NA,NA,404044441,9.89,4070044,NA
Indiana,2023-04-01,321404737,15 (14 Mobile),29413465,NA,NA,NA,NA,303450748,9.15,2794279,NA
Indiana,2023-05-01,283436395,15 (14 Mobile),33778063,NA,NA,NA,NA,268296116,11.92,3208915,NA
Indiana,2023-06-01,224070051,15 (14 Mobile),19455469,NA,NA,NA,NA,212794438,8.68,1848270,NA
Indiana,2023-07-01,203788074,15 (12 Mobile),23257765,NA,NA,NA,NA,193089884,11.41,2209488,NA
Indiana,2023-08-01,238079855,15 (12 Mobile),23539784,NA,NA,NA,NA,223753624,9.89,2236280,NA
Indiana,2023-09-01,404141002,15 (12 Mobile),41072668,NA,NA,NA,NA,383753793,10.16,3972181,NA
Indiana,2023-10-01,429673062,15 (12 Mobile),45232502,NA,NA,NA,NA,412141992,10.53,4297088,NA
Indiana,2023-11-01,513672425,15 (12 Mobile),30729018,NA,NA,NA,NA,496767588,5.98,2919257,NA
Indiana,2023-12-01,503127765,15 (12 Mobile),50639143,NA,NA,NA,NA,486994714,10.06,4810719,NA
Indiana,2024-01-01,480573358,15 (13 Mobile),53469414,NA,NA,NA,NA,465343505,11.13,5079594,NA
Indiana,2024-02-01,408675533,15 (13 Mobile),37983488,NA,NA,NA,NA,397952497,9.29,3608431,NA
Indiana,2024-03-01,500757257,15 (13 Mobile),39419739,NA,NA,NA,NA,485426264,7.87,37447875,NA
Indiana,2024-04-01,393855317,16 (13 Mobile),37081162,NA,NA,NA,NA,383490696,9.41,3525499,NA
Indiana,2024-05-01,361590149,16 (12 Mobile),38985557,NA,NA,NA,NA,351710445,10.78,3703628,NA
Indiana,2024-06-01,298166251,15 (12 Mobile),30500914,NA,NA,NA,NA,290315551,10.23,2897587,NA
Indiana,2024-07-01,261071808,15 (12 Mobile),29049092,NA,NA,NA,NA,254882075,11.13,2759664,NA
Indiana,2024-08-01,307902881,15 (12 Mobile),32079748,NA,NA,NA,NA,300042248,10.42,3047576,NA
Indiana,2024-09-01,483843655,15 (12 Mobile),52997723,NA,NA,NA,NA,469950584,10.95,5034784,NA
Indiana,2024-10-01,537909435,14 (11 Mobile),35153484,NA,NA,NA,NA,501337009,6.54,3339581,NA
Indiana,2024-11-01,614362613,14 (11 Mobile),68591523,NA,NA,NA,NA,521419821,11.16,6516194,NA
Indiana,2024-12-01,563624406,14 (11 Mobile),31479014,NA,NA,NA,NA,520153093,5.59,2990506,NA
Indiana,2025-01-01,538705451,13 (11 Mobile),55066011,NA,NA,NA,NA,525599123,10.22,5231271,NA
Indiana,2025-02-01,432889381,12 (11 Mobile),47745086,NA,NA,NA,NA,424809235,11.03,4535784,NA
Indiana,2025-03-01,553578453,12 (11 Mobile),35789455,NA,NA,NA,NA,539974590,6.47,3399998,NA
Indiana,2025-04-01,437099849,12 (11 Mobile),40165026,NA,NA,NA,NA,427054759,9.19,3815678,NA
Indiana,2025-05-01,433271506,12 (11 Mobile),43777883,NA,NA,NA,NA,424442336,10.1,4158899,NA
Indiana,2025-06-01,351462412,12 (11 Mobile),45341194,NA,NA,NA,NA,344256752,12.9,5823631,NA
